Person_ID,Year,sex,race,age,log_wage
1001,1968,1.0,1.0,52.0,1.9407486
1001,1969,1.0,1.0,53.0,
1002,1968,0.0,0.0,46.0,2.2545905
1002,1969,0.0,0.0,47.0,2.2531862
1002,1970,0.0,1.0,48.0,2.3547776
1002,1971,0.0,1.0,49.0,2.0211384
1002,1972,0.0,1.0,50.0,2.224521
1002,1973,0.0,1.0,51.0,2.3121762
1002,1974,0.0,1.0,52.0,2.2438169
1002,1975,0.0,1.0,53.0,2.3196836
1002,1976,0.0,1.0,54.0,2.2232027
1002,1977,0.0,1.0,55.0,2.4708438
1003,1969,1.0,1.0,22.0,2.683846
1003,1970,1.0,1.0,23.0,2.3805602
1003,1971,1.0,1.0,24.0,2.1983438
1003,1972,1.0,1.0,25.0,2.1377048
1003,1973,1.0,1.0,26.0,2.2368805
1003,1974,1.0,1.0,27.0,2.6217527
1003,1975,1.0,1.0,28.0,2.5840495
1003,1976,1.0,1.0,29.0,2.5894299
1003,1977,1.0,1.0,30.0,2.617699
1003,1978,1.0,1.0,31.0,2.499769
1003,1979,1.0,1.0,32.0,3.0198731
1004,1969,0.0,0.0,20.0,2.045187
1004,1970,0.0,0.0,21.0,2.3652525
1004,1971,0.0,0.0,22.0,2.606131
1004,1972,0.0,0.0,23.0,2.6224277
1004,1973,0.0,0.0,24.0,2.9701495
1004,1974,0.0,0.0,25.0,2.9071646
1004,1975,0.0,0.0,26.0,2.825171
1004,1976,0.0,0.0,27.0,2.833012
1004,1977,0.0,0.0,28.0,2.4584212
1004,1978,0.0,0.0,29.0,2.7270117
1004,1979,0.0,0.0,30.0,2.6935523
2001,1968,1.0,1.0,56.0,
2001,1969,1.0,1.0,57.0,
2002,1968,0.0,0.0,56.0,
2002,1969,0.0,0.0,57.0,
2002,1970,0.0,1.0,58.0,
2002,1971,0.0,1.0,59.0,
2002,1972,0.0,1.0,60.0,
2002,1973,0.0,1.0,61.0,
2002,1974,0.0,1.0,62.0,
2002,1975,0.0,1.0,63.0,
2002,1976,0.0,1.0,64.0,
2002,1977,0.0,1.0,65.0,
2002,1978,0.0,0.0,66.0,
2002,1979,0.0,0.0,67.0,
2002,1980,0.0,0.0,68.0,
2002,1981,0.0,1.0,69.0,
2002,1982,0.0,1.0,70.0,
2002,1983,0.0,1.0,71.0,
2002,1984,0.0,1.0,72.0,
2002,1985,0.0,1.0,73.0,
2002,1986,0.0,1.0,74.0,
2170,1978,1.0,1.0,71.0,
2170,1979,1.0,1.0,72.0,
2170,1980,1.0,1.0,73.0,
3001,1968,1.0,1.0,78.0,
3001,1969,1.0,1.0,79.0,
3001,1970,1.0,1.0,80.0,
3001,1971,1.0,1.0,81.0,
3002,1968,0.0,0.0,64.0,
3002,1969,0.0,0.0,65.0,
3002,1970,0.0,0.0,66.0,
4001,1968,1.0,1.0,45.0,2.3291497
4001,1969,1.0,1.0,46.0,1.95957
4001,1970,1.0,1.0,47.0,2.77934
4001,1971,1.0,1.0,48.0,2.5670424
4001,1972,1.0,1.0,49.0,2.9792838
4001,1973,1.0,1.0,50.0,2.4254003
4001,1974,1.0,1.0,51.0,2.948511
4001,1975,1.0,1.0,52.0,3.456346
4001,1976,1.0,1.0,53.0,3.4594364
4001,1977,1.0,1.0,54.0,2.592369
4001,1978,1.0,1.0,55.0,
4001,1979,1.0,1.0,56.0,1.2663527
4001,1980,1.0,1.0,57.0,4.0158777
4001,1981,1.0,1.0,58.0,2.1278052
4001,1982,1.0,1.0,59.0,2.9525108
4001,1983,1.0,1.0,60.0,3.8235567
4001,1984,1.0,1.0,61.0,
4001,1985,1.0,1.0,62.0,1.6841159
4001,1986,1.0,1.0,63.0,2.7841787
4001,1987,1.0,1.0,64.0,2.0034752
4001,1988,1.0,1.0,65.0,2.832841
4001,1989,1.0,1.0,66.0,2.4971251
4001,1990,1.0,1.0,67.0,1.4779583
4001,1991,1.0,1.0,68.0,1.4136317
4001,1992,1.0,1.0,69.0,2.112866
4001,1993,1.0,1.0,70.0,1.3226795
4001,1994,1.0,1.0,71.0,
4001,1995,1.0,1.0,72.0,
4001,1996,1.0,1.0,73.0,
4001,1997,1.0,1.0,74.0,
4001,1999,1.0,1.0,76.0,
4002,1968,0.0,0.0,44.0,
4002,1969,0.0,0.0,45.0,
4002,1970,0.0,0.0,46.0,
4002,1971,0.0,0.0,47.0,
4002,1972,0.0,0.0,48.0,
4002,1973,0.0,0.0,49.0,
4002,1974,0.0,0.0,50.0,
4002,1975,0.0,0.0,51.0,
4002,1976,0.0,0.0,52.0,
4002,1977,0.0,0.0,53.0,
4002,1978,0.0,0.0,54.0,
4002,1979,0.0,0.0,55.0,
4002,1980,0.0,0.0,56.0,
4002,1981,0.0,0.0,57.0,
4002,1982,0.0,0.0,58.0,
4002,1983,0.0,0.0,59.0,
4002,1984,0.0,0.0,60.0,
4002,1985,0.0,1.0,61.0,
4002,1986,0.0,1.0,62.0,1.8016729
4002,1987,0.0,1.0,63.0,2.0055606
4002,1988,0.0,1.0,64.0,
4002,1989,0.0,1.0,65.0,
4002,1990,0.0,1.0,66.0,
4002,1991,0.0,1.0,67.0,
4002,1992,0.0,1.0,68.0,
4002,1993,0.0,1.0,69.0,
4002,1994,0.0,1.0,70.0,
4002,1995,0.0,1.0,71.0,
4002,1996,0.0,1.0,72.0,
4002,1997,0.0,1.0,73.0,
4003,1972,1.0,1.0,20.0,1.388382
4003,1973,1.0,1.0,21.0,1.7929748
4003,1974,1.0,1.0,22.0,1.7700005
4003,1975,1.0,1.0,23.0,2.3482099
4003,1976,1.0,1.0,24.0,2.5401652
4003,1977,1.0,1.0,25.0,1.9450306
4003,1978,1.0,1.0,26.0,2.1043653
4003,1979,1.0,1.0,27.0,2.333166
4003,1980,1.0,1.0,28.0,2.3697162
4003,1981,1.0,1.0,29.0,2.243068
4003,1982,1.0,1.0,30.0,2.237566
4003,1983,1.0,1.0,31.0,2.2387128
4003,1984,1.0,1.0,32.0,2.3029163
4003,1985,1.0,1.0,33.0,2.5057778
4003,1986,1.0,1.0,34.0,2.0450191
4003,1987,1.0,1.0,35.0,2.1471243
4003,1988,1.0,1.0,36.0,2.335047
4003,1989,1.0,1.0,37.0,2.4861708
4003,1990,1.0,1.0,38.0,2.304637
4003,1991,1.0,1.0,39.0,1.948437
4003,1992,1.0,1.0,40.0,2.4208088
4003,1993,1.0,1.0,41.0,1.2083898
4003,1994,1.0,1.0,42.0,1.876974
4003,1995,1.0,1.0,43.0,2.2698195
4003,1996,1.0,1.0,44.0,2.3940372
4003,1997,1.0,1.0,45.0,2.401906
4003,1999,1.0,1.0,47.0,2.3267994
4003,2001,1.0,1.0,49.0,2.3677335
4003,2003,1.0,1.0,51.0,2.2994769
4003,2005,1.0,1.0,53.0,2.0804808
4003,2007,1.0,1.0,55.0,2.027945
4003,2009,1.0,1.0,57.0,2.3928664
4003,2011,1.0,1.0,59.0,2.31045
4004,1973,0.0,0.0,19.0,2.014638
4004,1974,0.0,0.0,20.0,2.2444584
4004,1975,0.0,0.0,21.0,2.1834772
4004,1976,0.0,0.0,22.0,2.4943554
4004,1977,0.0,0.0,23.0,2.4652472
4004,1978,0.0,0.0,24.0,2.2621896
4004,1979,0.0,0.0,25.0,2.8663046
4004,1980,0.0,0.0,26.0,2.7369602
4004,1981,0.0,0.0,27.0,2.1377072
4004,1982,0.0,0.0,28.0,2.149629
4004,1983,0.0,0.0,29.0,1.9102087
4004,1984,0.0,0.0,30.0,1.9742923
4004,1985,0.0,1.0,31.0,2.3471727
4004,1986,0.0,1.0,32.0,1.8908685
4004,1987,0.0,1.0,33.0,2.3958232
4004,1988,0.0,1.0,34.0,2.4010549
4004,1989,0.0,1.0,35.0,2.214329
4004,1990,0.0,1.0,36.0,1.8527402
4004,1991,0.0,1.0,37.0,1.307433
4004,1992,0.0,1.0,38.0,1.9522372
4004,1993,0.0,1.0,39.0,3.4185965
4004,1994,0.0,1.0,40.0,2.8489234
4004,1995,0.0,1.0,41.0,2.256182
4004,1996,0.0,1.0,42.0,3.0029304
4004,1997,0.0,1.0,43.0,2.5410645
4004,1999,0.0,1.0,45.0,2.4740055
4004,2001,0.0,1.0,47.0,2.4798028
4004,2003,0.0,1.0,49.0,2.483719
4004,2005,0.0,1.0,51.0,2.4849946
4004,2007,0.0,1.0,53.0,2.4827485
4004,2009,0.0,1.0,55.0,2.410228
4004,2011,0.0,1.0,57.0,2.4467483
4004,2013,0.0,1.0,59.0,1.940243
4005,1972,0.0,0.0,16.0,1.6766853
4005,1973,0.0,0.0,17.0,1.746374
4005,1974,0.0,0.0,18.0,2.033966
4005,1975,0.0,0.0,19.0,1.4699672
4005,1976,0.0,0.0,20.0,2.172772
4005,1977,0.0,0.0,21.0,2.2305791
4005,1978,0.0,0.0,22.0,2.3755183
4005,1994,0.0,1.0,38.0,
